0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/images/9.jpg HTTP/1.1" 200 560358
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/images/11.jpg HTTP/1.1" 200 577139
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/images/21.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/images/18.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/images/19.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/images/6.jpg HTTP/1.1" 200 692948
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/images/17.jpg HTTP/1.1" 200 352893
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:03 +0800] "GET /group3/purchase/warmService HTTP/1.1" 200 14826
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:03 +0800] "GET /group3/purchase/css/menu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:03 +0800] "GET /group3/purchase/css/megamenu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:03 +0800] "GET /group3/purchase/images/ServiceList.PNG HTTP/1.1" 200 34315
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:03 +0800] "GET /group3/purchase/warmService HTTP/1.1" 200 14826
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:03 +0800] "GET /group3/purchase/css/megamenu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:03 +0800] "GET /group3/purchase/css/menu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:04 +0800] "GET /group3/userweb/first HTTP/1.1" 200 9130
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:04 +0800] "GET /group3/userweb/css/ChangePhone.css HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:04 +0800] "GET /group3/userweb/css/first.css HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:04 +0800] "GET /group3/userweb/css/commonfriend.css HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:04 +0800] "GET /group3/userweb/css/NumberSafe.css HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:04 +0800] "GET /group3/userweb/images/hello.png HTTP/1.1" 200 156117
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:04 +0800] "GET /group3/userweb/images/train.png HTTP/1.1" 200 190547
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:10 +0800] "GET /group3/main/NotIndex HTTP/1.1" 200 28507
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "POST /group3/queryInfo/ticketQuery HTTP/1.1" 200 25698
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/js/sand.js HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/js/bootstrap-select.js HTTP/1.1" 200 63853
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/css/bootstrap.css HTTP/1.1" 200 141622
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/js/bootstrap.js HTTP/1.1" 200 67546
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/css/bootstrap-select.css HTTP/1.1" 200 6997
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/js/jquery-ui.js HTTP/1.1" 200 440394
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/css/popuo-box.css HTTP/1.1" 200 6944
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/css/font-awesome.min.css HTTP/1.1" 200 34089
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/css/cityPicker.css HTTP/1.1" 200 2216
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/js/easing.js HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/css/medile.css HTTP/1.1" 200 9465
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/css/style_ticketQuery.css HTTP/1.1" 200 15102
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/css/jquery.slidey.min.css HTTP/1.1" 200 7632
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/js/easyResponsiveTabs.js HTTP/1.1" 200 11733
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/css/faqstyle.css HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/js/jquery-2.2.3.min.js HTTP/1.1" 200 112543
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/js/LogReg-validation.js HTTP/1.1" 200 4680
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/js/custom.js HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/js/jquery.flexslider-min.js HTTP/1.1" 200 28427
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/js/jquery.cycle.all.js HTTP/1.1" 200 52496
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/js/china.js HTTP/1.1" 200 60565
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/js/responsiveslides.min.js HTTP/1.1" 200 4724
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/js/jquery-1.7.1.min.js HTTP/1.1" 200 130059
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/js/ticketQueryRelated.js HTTP/1.1" 200 7404
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/js/bootstrap.min.js HTTP/1.1" 200 32535
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/js/cityPicker.js HTTP/1.1" 200 17921
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:56:17 +0800] "GET /group3/queryInfo/images/logo2.jpg HTTP/1.1" 200 19703
